cpus,batch_size,total_batches,no_params,epoch_no,duration
8,64,782,29787522,4,7.90020227432251
8,64,782,29787522,4,7.013640403747559
8,64,782,29787522,4,7.193026065826416
8,64,782,29787522,4,6.8950018882751465
8,64,782,29787522,4,7.306385517120361
8,64,782,29787522,4,7.313222169876099
8,128,391,57044810,0,13.591096878051758
8,128,391,57044810,0,13.786923170089722
8,128,391,57044810,0,13.78341031074524
8,128,391,57044810,0,12.387839317321777
8,128,391,57044810,0,12.985851049423218
8,128,391,57044810,0,11.995088577270508
8,128,391,57044810,0,12.491373777389526
8,128,391,57044810,0,13.284220457077026
8,128,391,57044810,0,13.292154550552368
8,128,391,57044810,0,12.19080400466919
8,128,391,57044810,0,11.901368379592896
8,128,391,57044810,1,11.996059894561768
8,128,391,57044810,1,12.504082679748535
8,128,391,57044810,1,12.701143980026245
8,128,391,57044810,1,12.38547682762146
8,128,391,57044810,1,12.498430013656616
8,128,391,57044810,1,12.58671259880066
8,128,391,57044810,1,12.209885597229004
8,128,391,57044810,1,12.791637897491455
8,128,391,57044810,1,11.78791093826294
8,128,391,57044810,1,12.595799446105957
8,128,391,57044810,1,12.388156652450562
8,128,391,57044810,2,12.095818519592285
8,128,391,57044810,2,11.888023614883423
8,128,391,57044810,2,11.789037227630615
8,128,391,57044810,2,12.199287414550781
8,128,391,57044810,2,12.286617279052734
8,128,391,57044810,2,12.809892654418945
8,128,391,57044810,2,12.49345350265503
8,128,391,57044810,2,12.403132438659668
8,128,391,57044810,2,12.683695554733276
8,128,391,57044810,2,12.100598812103271
8,128,391,57044810,2,12.294657707214355
8,128,391,57044810,3,12.986732721328735
8,128,391,57044810,3,12.409872055053711
8,128,391,57044810,3,12.692211151123047
8,128,391,57044810,3,12.890104532241821
8,128,391,57044810,3,12.305928468704224
8,128,391,57044810,3,12.390610933303833
8,128,391,57044810,3,11.795397996902466
8,128,391,57044810,3,11.889679670333862
8,128,391,57044810,3,12.49137830734253
8,128,391,57044810,3,12.50244402885437
8,128,391,57044810,3,13.18598747253418
8,128,391,57044810,4,12.190869331359863
8,128,391,57044810,4,12.102875471115112
8,128,391,57044810,4,11.888276100158691
8,128,391,57044810,4,12.386723041534424
8,128,391,57044810,4,12.403234481811523
8,128,391,57044810,4,11.693042278289795
8,128,391,57044810,4,12.38494348526001
8,128,391,57044810,4,12.21422004699707
8,128,391,57044810,4,12.683354616165161
8,128,391,57044810,4,12.30089259147644
8,128,391,57044810,4,11.595927238464355
8,128,391,41206970,0,12.205328226089478
8,128,391,41206970,0,13.190494537353516
8,128,391,41206970,0,12.291985273361206
8,128,391,41206970,0,10.997483491897583
8,128,391,41206970,0,11.1857008934021
8,128,391,41206970,0,11.996573686599731
8,128,391,41206970,0,11.595706939697266
8,128,391,41206970,0,11.794121503829956
8,128,391,41206970,0,12.10723066329956
8,128,391,41206970,0,10.89561676979065
8,128,391,41206970,0,11.287205457687378
8,128,391,41206970,1,10.788000583648682
8,128,391,41206970,1,11.788018226623535
8,128,391,41206970,1,11.98477053642273
8,128,391,41206970,1,10.809299945831299
8,128,391,41206970,1,11.19506573677063
8,128,391,41206970,1,11.09878158569336
8,128,391,41206970,1,11.488595008850098
8,128,391,41206970,1,11.587827205657959
8,128,391,41206970,1,11.491830825805664
8,128,391,41206970,1,11.000476121902466
8,128,391,41206970,1,11.09537386894226
8,128,391,41206970,2,11.391371965408325
8,128,391,41206970,2,11.4898841381073
8,128,391,41206970,2,11.788227081298828
8,128,391,41206970,2,10.883984327316284
8,128,391,41206970,2,11.31041955947876
8,128,391,41206970,2,11.58750605583191
8,128,391,41206970,2,11.201963424682617
8,128,391,41206970,2,10.984918594360352
8,128,391,41206970,2,11.101854801177979
8,128,391,41206970,2,11.981975555419922
8,128,391,41206970,2,11.293605327606201
8,128,391,41206970,3,10.899276733398438
8,128,391,41206970,3,11.502859830856323
8,128,391,41206970,3,11.196183919906616
8,128,391,41206970,3,10.80176305770874
8,128,391,41206970,3,11.187228441238403
8,128,391,41206970,3,11.188049554824829
8,128,391,41206970,3,11.29012131690979
8,128,391,41206970,3,11.690717220306396
8,128,391,41206970,3,10.58970022201538
8,128,391,41206970,3,11.486500263214111
8,128,391,41206970,3,11.093368768692017
8,128,391,41206970,4,11.88374924659729
8,128,391,41206970,4,11.584182739257812
8,128,391,41206970,4,11.5875244140625
8,128,391,41206970,4,11.597366571426392
8,128,391,41206970,4,11.196745157241821
8,128,391,41206970,4,11.200358867645264
8,128,391,41206970,4,11.28813123703003
8,128,391,41206970,4,11.091123580932617
8,128,391,41206970,4,11.187778949737549
8,128,391,41206970,4,11.091758251190186
8,128,391,41206970,4,11.58621335029602
8,128,391,29787522,0,11.703571081161499
8,128,391,29787522,0,12.986028671264648
8,128,391,29787522,0,11.094192504882812
8,128,391,29787522,0,10.790930986404419
8,128,391,29787522,0,11.088537216186523
8,128,391,29787522,0,10.704083919525146
8,128,391,29787522,0,11.692615747451782
8,128,391,29787522,0,10.498496770858765
8,128,391,29787522,0,11.385315656661987
8,128,391,29787522,0,11.093180418014526
8,128,391,29787522,0,10.90561032295227
8,128,391,29787522,1,11.00087285041809
8,128,391,29787522,1,11.30779242515564
8,128,391,29787522,1,11.092690467834473
8,128,391,29787522,1,10.805030822753906
8,128,391,29787522,1,11.296878814697266
8,128,391,29787522,1,11.393318176269531
8,128,391,29787522,1,10.888427495956421
8,128,391,29787522,1,10.491711854934692
8,128,391,29787522,1,10.705628633499146
8,128,391,29787522,1,10.894675254821777
8,128,391,29787522,1,11.494007110595703
8,128,391,29787522,2,10.88506269454956
8,128,391,29787522,2,10.184043884277344
8,128,391,29787522,2,10.68722128868103
8,128,391,29787522,2,10.789140462875366
8,128,391,29787522,2,11.090964555740356
8,128,391,29787522,2,11.007333993911743
8,128,391,29787522,2,10.792768955230713
8,128,391,29787522,2,11.420217275619507
8,128,391,29787522,2,11.088984489440918
8,128,391,29787522,2,10.987215995788574
8,128,391,29787522,2,11.197839975357056
8,128,391,29787522,3,10.895983695983887
